"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MT-CO1",1358800.72231578,0.0217473372981219,0.146623023260409,0.148321435573577,0.882089099316613,0.946844073483096
"ACTA1",1086105.293752,0.208518291597854,0.115795720208936,1.80074264594247,0.0717434525493579,0.211525572803312
"CKM",581485.482274112,0.266247509337812,0.131984581155661,2.0172622211363,0.0436681558914449,0.15201970166129
"MYH7",529918.791874525,0.211320284171588,0.20005182895814,1.05632767904265,0.290818534482575,0.51965934850165
"MYH2",532713.072632445,-0.0788158713157324,0.20588721817625,-0.382810900132042,0.701859978890996,0.848754082285013
"MT-ND4",458110.359469781,-0.0194052808618842,0.144448732433952,-0.134340264084748,0.893133515655719,0.951762191662764
"MT-CO3",389127.229233754,0.0988075806893146,0.137029638628041,0.72106722077493,0.470868157550827,0.687616360997685
"TTN",379134.302400807,0.0397483852501805,0.150065811459919,0.264873023798607,0.791107280209899,0.900203945566147
"MT-CO2",335143.697755653,0.0649229994975807,0.175845065508398,0.369205694284781,0.711974411831731,0.853941967108616
"MT-CYB",315434.800223374,0.029601027957524,0.130728823700867,0.226430768055077,0.820866399825948,0.916262665686249
"MT-ATP6",280666.225178426,-0.018272363481715,0.127738531971182,-0.143045040519467,0.886254609739689,0.948837809728004
"MT-ND1",252667.76788882,0.141512173990978,0.152766494444111,0.926329916163322,0.354274553432617,0.583883422083447
"NEB",252225.485030141,0.0178171346308522,0.16167592292977,0.110202770505239,0.912248565113525,0.959352311202153
"MYBPC1",238067.463299184,0.014080844707759,0.0942997501571725,0.14932006377843,0.881301084146552,0.946711823389411
"DES",223535.749322256,0.349150193855046,0.125605229333831,2.77974249724174,0.00544020182463862,0.0344969695252977
"FHL1",202578.802858365,0.188177551540979,0.113826548731175,1.65319561770602,0.0982910580823514,0.262230992710712
"TPM2",200188.358737755,0.277888119742387,0.157213957732979,1.76757918793933,0.0771312798470594,0.222710185518661
"MT-ND2",188614.643795788,-0.0105681164353667,0.131315988445108,-0.0804785202510534,0.93585667917059,0.971158016581785
"MB",185319.86185907,0.352259694578575,0.151235573193361,2.32921188540871,0.019847843580012,0.0886040252650366
"MT-ND5",171869.605061788,-0.0618477018725918,0.191331789299911,-0.323248437172383,0.746507100627615,0.874749946680597
"FLNC",154011.607099238,2.24767432651934,0.215894942401505,10.4109633209438,2.20974147058675e-25,3.97422003485027e-22
"GAPDH",148448.228474346,0.117812308660171,0.112410528756592,1.04805403873934,0.294613710324881,0.523644479821419
"PYGM",129904.434414435,0.0406466415587194,0.117858212000442,0.344877466481224,0.730186491636431,0.864446588663151
"MYL1",120446.534572497,0.126513947685913,0.143509125590006,0.881574235546196,0.378007092956109,0.607072893565408
"ENO3",119003.014798741,0.172699008551351,0.166016247735161,1.04025365533409,0.298222069457244,0.527127657905506
"TNNT1",115438.953525995,0.439788599254229,0.228283144682896,1.92650491066754,0.0540413592775205,0.174886881980424
"MYL2",110454.386436926,0.404818458827022,0.200507427485269,2.01896989006436,0.0434903491330971,0.151547382738436
"ACTN2",109979.489683577,0.584211994533373,0.133020211446199,4.39190396844064,1.12362329742955e-05,0.000211605916275083
"NRAP",105694.505924633,0.875620039331253,0.206510388516313,4.24007743931044,2.23442688484352e-05,0.000384097180634751
"ATP2A1",103849.874636543,0.0579161783743263,0.212162283080688,0.272980557775673,0.784868160831252,0.896338915673057
"ATP2A2",96728.0335072027,-0.0701071405709214,0.241316195864469,-0.290519831542082,0.771418581316206,0.88942788268111
"TCAP",97428.525936483,0.471959443218486,0.177366479425841,2.66092806682684,0.00779256030659294,0.0450242991446757
"TNNI1",97575.506170821,0.364289537855102,0.190566721129649,1.9116115116829,0.0559260416922945,0.178734759633215
"CMYA5",89470.8618207297,0.0150410532091505,0.131875032260792,0.114055351883484,0.909193915219768,0.957781245348815
"TNNT3",90229.0726571076,0.0310041910466918,0.229187275407518,0.135278849977876,0.89239140662315,0.951443316672388
"XIRP2",83235.7897249682,1.43659938237762,0.289818934798682,4.95688586867358,7.16320259231591e-07,2.01691113303799e-05
"TNNC2",81445.2721803842,0.226358822421037,0.222921231984478,1.01542065063053,0.309905353361426,0.53881674793494
"MT-ND6",76960.7869450166,-0.110915885664112,0.181876062382815,-0.609843231764357,0.541965660413225,0.742082405978823
"TPM3",75821.429262315,0.303223477515121,0.194294066500238,1.56064198447743,0.118608246844611,0.298032737617929
"MT-ND4L",73844.6486867015,-0.01851235525133,0.198057518120107,-0.0934695911927142,0.92553050662417,0.965665912205117
"TPM1",68673.192201762,0.161493846128764,0.220285534279343,0.733111444004191,0.463490460813317,0.682988606122696
"TNNC1",65208.7101784438,0.493210785257509,0.199032965274041,2.47803565895944,0.0132107941417585,0.0661065776118789
"MT-ND3",64975.043262642,0.143533692525791,0.186100207422741,0.77127099702658,0.44054631959382,0.664061108784113
"CA3",60778.073099565,0.126235273866008,0.160462397153421,0.786696921555469,0.431459306609914,0.656011466078774
"OBSCN",60522.0396336398,0.358223941914482,0.150728000073972,2.37662505797648,0.0174718376953799,0.081094677635669
"RYR1",59989.3612769484,0.141106419448968,0.129078649922375,1.09318171156753,0.274314025122969,0.50233297613202
"MYBPC2",59105.7699313961,0.126033616700764,0.290890135141177,0.43326878939912,0.664819509413646,0.825333803790103
"MYH1",57475.0278987161,-0.41298807918876,0.656135810157481,-0.629424690430534,0.529071057896303,0.73209024629852
"KLHL41",58246.8646460489,0.322567067090159,0.158891435434611,2.03010984328923,0.042345375201084,0.148888789420249
"YBX3",56289.229469747,0.219545288880171,0.0873393781458563,2.51370336657917,0.0119470874413639,0.0614128953577506
"PDE4DIP",55936.864649328,0.0120087187572621,0.126752751446229,0.0947412866406802,0.924520323452699,0.965253159431061
"TPT1",54758.5996283504,0.175834467200601,0.106791552978922,1.64652036884702,0.0996566700161876,0.264306021786711
"MYLPF",54347.9910938459,0.138821778030238,0.25383224981835,0.546903626822765,0.584444943904595,0.770618938132269
"LDB3",52366.1493058442,0.0872809148611599,0.0935390396438688,0.933096118940974,0.350770342807681,0.580902819097251
"XIRP1",53102.4231367493,4.18671505660348,0.606795573071972,6.89971259250914,5.21078539401213e-12,5.17053656889976e-10
"EEF2",47997.0262085488,0.149131563429009,0.100018555158814,1.49103896964129,0.135951263911428,0.326882818375272
"TNNI2",47531.8051388481,0.129602440907672,0.233363146166941,0.555368073478741,0.578642925538447,0.766480796597972
"PDLIM3",46834.5688893412,0.717066664372159,0.143057686532819,5.01243017240918,5.37468822088017e-07,1.59117313008279e-05
"MYOZ1",45718.1542963324,0.163133524124721,0.0953603912529668,1.71070527271611,0.0871355338619856,0.24186670574987
"SYNPO",45134.9767436617,0.158518667067507,0.111125921635953,1.4264778616353,0.153730452763688,0.353278031363033
"PKM",44476.6284294097,0.0129256980101074,0.133489862420949,0.0968290608416936,0.922862145152017,0.964911019871174
"EEF1A2",43718.5917356522,0.398676506636235,0.135170775959077,2.94942826071321,0.00318362475602161,0.0230180869294668
"CASQ1",41199.2410801213,-0.0163028790045049,0.104874308275403,-0.155451599849345,0.876465307735242,0.944356645287947
"CSDE1",37611.5363944877,0.0680502225580423,0.100891999264621,0.674485817052345,0.500002499725189,0.711013635703303
"SYNPO2",37166.1841821757,1.11825350271561,0.161418112148461,6.92768294605699,4.27789146944819e-12,4.42807931384321e-10
"SVIL",36636.3986735745,0.026477470590102,0.14537188556924,0.182136115841264,0.855475906394446,0.932569459837069
"HSPB7",36446.8008390604,1.37244333656241,0.160806751164143,8.53473704696323,1.40474544387013e-17,5.85820221666791e-15
"ZNF106",35923.5973464745,0.35605404527444,0.193812033801917,1.83711010245288,0.0661936430886369,0.200546249054392
"TRDN",34765.8609797722,0.0568598792857335,0.103794511535325,0.547812003203869,0.58382099583457,0.77036806484637
"MYL3",33086.7013671608,0.353280531554349,0.203801114332473,1.7334573106309,0.0830144187981851,0.233602866745215
"SLN",32628.2372290698,0.504645256278433,0.152849359440868,3.30158567968133,0.000961399669954158,0.00897056968307421
"ATP5F1B",31699.5778110862,0.0694589077564409,0.101316720337539,0.685562141421843,0.492989261879939,0.70555254709576
"MYOT",31646.3748353355,0.648016001353721,0.131918477260823,4.91224591739711,9.00390229397276e-07,2.45356337510758e-05
"MYOM1",30530.3234130903,0.178732406888779,0.131681002021478,1.35731353912106,0.1746816071915,0.384507157662242
"ATP1A2",29992.4281226754,-0.0349019003703517,0.124293632108919,-0.280801999090082,0.778862270240902,0.893285798662902
"SLC25A4",29512.9677845454,0.174224873306584,0.119141893667081,1.46233090598191,0.143650553245423,0.339327558708775
"CSRP3",29267.0637818233,1.24952107148767,0.313735735602919,3.9827183508006,6.81314801253778e-05,0.00100335285163146
