"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MT-CO1",1358800.72231578,-0.113904372153318,0.185465367465221,-0.614154403649929,0.539113300609708,0.99968591623526
"ACTA1",1086105.293752,-0.0906828946233733,0.146471365291801,-0.619116879553312,0.535839364237678,0.99968591623526
"CKM",581485.482274112,0.00706070427698507,0.166949131541554,0.0422925487050387,0.966265485245275,0.99968591623526
"MYH7",529918.791874525,0.0887624346629193,0.253048156127669,0.3507728964369,0.72575873230012,0.99968591623526
"MYH2",532713.072632445,-0.200082073038853,0.260428834829811,-0.768279262047175,0.442321292396124,0.99968591623526
"MT-ND4",458110.359469781,-0.0809648988703891,0.182715956574738,-0.443118928352988,0.657679714773906,0.99968591623526
"MT-CO3",389127.229233754,-0.0904795111966828,0.173330852565895,-0.522004650973981,0.601667092305452,0.99968591623526
"TTN",379134.302400807,-0.113350594629528,0.189819778368295,-0.597148493186,0.550408243988246,0.99968591623526
"MT-CO2",335143.697755653,-0.095313702925865,0.222429370764146,-0.428512217601565,0.668278240434584,0.99968591623526
"MT-CYB",315434.800223374,-0.0204077283947385,0.165362043159625,-0.12341241076127,0.901780529834751,0.99968591623526
"MT-ATP6",280666.225178426,-0.10371232650143,0.161579517636126,-0.641865553374086,0.520960481832309,0.99968591623526
"MT-ND1",252667.76788882,-0.189609970598491,0.19323709235356,-0.981229681574632,0.326479490236035,0.99968591623526
"NEB",252225.485030141,-0.117385357551098,0.204504691863863,-0.57399835906572,0.565968911692227,0.99968591623526
"MYBPC1",238067.463299184,-0.00842377974988842,0.119280783950529,-0.0706214318090175,0.943699052881292,0.99968591623526
"DES",223535.749322256,-0.0467859391696904,0.158879204518549,-0.294474908226446,0.768395034194086,0.99968591623526
"FHL1",202578.802858365,-0.00788486426899598,0.143979450449324,-0.0547638169501916,0.956326627013337,0.99968591623526
"TPM2",200188.358737755,-0.0719646245374225,0.198861479236698,-0.361883180260193,0.717439329514729,0.99968591623526
"MT-ND2",188614.643795788,-0.105305609208195,0.166106048150329,-0.633966134170454,0.526102923666851,0.99968591623526
"MB",185319.86185907,0.022471753237406,0.191299073877484,0.11746922126658,0.906488233022279,0.99968591623526
"MT-ND5",171869.605061788,-0.220908059570124,0.242020151743738,-0.912767213715456,0.361364985224932,0.99968591623526
"FLNC",154011.607099238,-0.00600092829153712,0.273095820748589,-0.0219737097224258,0.98246892707559,0.99968591623526
"GAPDH",148448.228474346,-0.106762073565983,0.142188900969103,-0.750846745690664,0.45274489306617,0.99968591623526
"PYGM",129904.434414435,-0.0364960576516343,0.149079949903252,-0.244808625675813,0.806604614790295,0.99968591623526
"MYL1",120446.534572497,-0.00290881594424145,0.181525869143588,-0.0160242501962107,0.98721504531853,0.99968591623526
"ENO3",119003.014798741,-0.176012616189631,0.209995868743677,-0.838171804248557,0.401934220154284,0.99968591623526
"TNNT1",115438.953525995,0.187748373667629,0.288759152322133,0.650190209237699,0.515569364554744,0.99968591623526
"MYL2",110454.386436926,0.177500472878834,0.253625846795132,0.699851671750992,0.484019941413325,0.99968591623526
"ACTN2",109979.489683577,-0.0744054837276932,0.168259887045187,-0.442205715422305,0.658340350589408,0.99968591623526
"NRAP",105694.505924633,-0.218974162851066,0.261218129347086,-0.838280878124315,0.401872972695485,0.99968591623526
"ATP2A1",103849.874636543,0.0548330659343475,0.268365079432003,0.204322656473793,0.838101366111464,0.99968591623526
"ATP2A2",96728.0335072027,0.0959372405074665,0.305242576551224,0.314298357691156,0.753294445446595,0.99968591623526
"TCAP",97428.525936483,0.0607477930272301,0.224352807256308,0.270769034585022,0.786568677301406,0.99968591623526
"TNNI1",97575.506170821,0.138483648051174,0.241051193345387,0.574498910912876,0.565630237325003,0.99968591623526
