"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MT-CO1",1358800.72231578,-0.082590220164987,0.196715559384095,-0.419845895380986,0.674598034669365,0.999595065210177
"ACTA1",1086105.293752,-0.0839058855549625,0.155356129731,-0.540087383100015,0.589136771321437,0.999595065210177
"CKM",581485.482274112,-0.0553985343393793,0.177076043576273,-0.312851660905317,0.754393364265372,0.999595065210177
"MYH7",529918.791874525,0.0349886615520131,0.268397906630916,0.130361156654352,0.896280696790503,0.999595065210177
"MYH2",532713.072632445,-0.242424737666709,0.276226319331791,-0.877630843625437,0.380144085384979,0.999595065210177
"MT-ND4",458110.359469781,-0.00109670598826633,0.193798908342865,-0.00565898950434776,0.995484803743978,0.999635494806439
"MT-CO3",389127.229233754,-0.105071288275399,0.183844646615051,-0.571522153132943,0.567645747958412,0.999595065210177
"TTN",379134.302400807,0.0453480052313142,0.201333475719639,0.225238277287093,0.821793913424894,0.999595065210177
"MT-CO2",335143.697755653,-0.0901811441051639,0.2359214646923,-0.382250696106785,0.702275421624224,0.999595065210177
"MT-CYB",315434.800223374,0.0195500624318876,0.175392059263685,0.1114649232922,0.911247679386402,0.999595065210177
"MT-ATP6",280666.225178426,-0.0673264742870978,0.171380004370638,-0.392849063893668,0.694430964196685,0.999595065210177
"MT-ND1",252667.76788882,-0.0988433811904409,0.204957836793986,-0.482262023919552,0.629619821122221,0.999595065210177
"NEB",252225.485030141,-0.0783586763890097,0.216909240903299,-0.361250982497067,0.717911833186218,0.999595065210177
"MYBPC1",238067.463299184,-0.0946033219554182,0.126515712778526,-0.747759467008083,0.454605254742069,0.999595065210177
"DES",223535.749322256,-0.16682130459748,0.168516485696958,-0.989940562239555,0.322203171906686,0.999595065210177
"FHL1",202578.802858365,-0.115335534538178,0.152712732032238,-0.755245047373198,0.450101964196776,0.999595065210177
"TPM2",200188.358737755,-0.136990286062459,0.21092390894517,-0.649477277125891,0.516029929044714,0.999595065210177
"MT-ND2",188614.643795788,-0.0597673806802072,0.176180594788926,-0.339239294496717,0.734429469744689,0.999595065210177
"MB",185319.86185907,-0.108103102760374,0.202902974205297,-0.532782248184276,0.594184323567042,0.999595065210177
"MT-ND5",171869.605061788,-0.0775570691208967,0.256699609021847,-0.302131621533931,0.762551727667778,0.999595065210177
"FLNC",154011.607099238,-0.0594391395910787,0.289660604366867,-0.205202705148666,0.837413756015015,0.999595065210177
