"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MT-CO1",1358800.72231578,0.0284395106775805,0.158370880213808,0.179575377993642,0.857485935939836,0.93697255139093
"ACTA1",1086105.293752,-0.0333504719989165,0.125073731874043,-0.266646493226112,0.789741354796428,0.90233601307295
"CKM",581485.482274112,-0.0551216714230515,0.142559840660955,-0.386656376490665,0.699010615431261,0.850433757195269
"MYH7",529918.791874525,-0.288211655209228,0.216081014818918,-1.33381294719833,0.18226516673828,0.391023491360367
"MYH2",532713.072632445,-0.0996397661563677,0.222383482789381,-0.448053807353743,0.654114364215094,0.822231953592425
"MT-ND4",458110.359469781,-0.03405195239433,0.156022250070577,-0.218250617324942,0.827233848596419,0.920533896255943
"MT-CO3",389127.229233754,0.100346278303087,0.14800859639905,0.677976014531892,0.497786901236242,0.713923304315055
"TTN",379134.302400807,-0.132968129688798,0.162089641559752,-0.820336996302021,0.412024021319191,0.641249398278716
"MT-CO2",335143.697755653,0.0835743477881895,0.189934066037955,0.440017683670757,0.659924299622955,0.825852153243081
"MT-CYB",315434.800223374,0.0434403096960391,0.141202842416422,0.307644725507217,0.758352683591245,0.884326972353096
"MT-ATP6",280666.225178426,-0.0326913515977755,0.137972983616562,-0.236940238160156,0.812703153110568,0.913287789932312
"MT-ND1",252667.76788882,0.0866477735694233,0.165006363453485,0.525117769738918,0.599501323887915,0.787298355083868
"NEB",252225.485030141,0.0834620135679829,0.174629315770705,0.477938158319144,0.632694221294264,0.807536450697609
"MYBPC1",238067.463299184,-0.252572369300867,0.10185598797858,-2.47970074527166,0.0131492688892641,0.0585842071447795
"DES",223535.749322256,-0.0283064459542223,0.135669893260638,-0.208642059589759,0.834727674271767,0.924310370443586
"FHL1",202578.802858365,0.23970676363595,0.122945649466485,1.94969699762572,0.0512122443889542,0.161656547724417
"TPM2",200188.358737755,-0.00177199785828884,0.169810821553674,-0.0104351291753732,0.991674122644723,0.995625577808243
"MT-ND2",188614.643795788,0.021403631818493,0.141836718208685,0.150903321007482,0.880051980704605,0.948844918448993
"MB",185319.86185907,-0.020753041268707,0.163353823344401,-0.12704349885312,0.898905970351039,0.957632378543497
"MT-ND5",171869.605061788,-0.159867672368375,0.206661805500391,-0.77357144916685,0.439184261347897,0.665643875958827
"FLNC",154011.607099238,2.17770812307408,0.233191972965239,9.33869247462776,9.75310647533391e-21,1.25105756697238e-17
"GAPDH",148448.228474346,0.0660638744234582,0.121416493008043,0.544109558650175,0.586366083131999,0.779280911085288
"PYGM",129904.434414435,-0.238094865095901,0.127302382345529,-1.87030957872929,0.0614408401482634,0.184414008613486
"MYL1",120446.534572497,0.173293286925913,0.155006208792748,1.11797642349679,0.263577062859917,0.490772282522225
"ENO3",119003.014798741,-0.00694593038321359,0.179318093741353,-0.0387352454974921,0.969101472642632,0.986755844108241
"TNNT1",115438.953525995,-0.136053128448209,0.246575550372029,-0.55177055568946,0.58110556292744,0.77609081806968
"MYL2",110454.386436926,-0.0202448990452989,0.216573855321902,-0.0934780378509129,0.9255237965443,0.967682378360231
"ACTN2",109979.489683577,0.424798128215361,0.143677774916462,2.95660291553338,0.00311048408370675,0.0191394721645719
"NRAP",105694.505924633,0.881141404438791,0.223055557606979,3.95032257385557,7.80459357709519e-05,0.000984118099846409
"ATP2A1",103849.874636543,-0.420076120343657,0.229163303005276,-1.83308633989267,0.0667897322216998,0.196293089283104
"ATP2A2",96728.0335072027,-0.60780637662005,0.260653593805995,-2.33185496407328,0.0197083223755759,0.0802234352636819
"TCAP",97428.525936483,0.0299559550434584,0.19157917767833,0.156363313625637,0.875746652925256,0.946820443118636
"TNNI1",97575.506170821,-0.127490043554829,0.205837377310207,-0.619372658264561,0.535670888918516,0.742694353912734
"CMYA5",89470.8618207297,-0.111011575254115,0.142441059740243,-0.779350950186392,0.43577300911528,0.662724418906726
"TNNT3",90229.0726571076,0.0984566066641104,0.247549270022758,0.397725295877702,0.690832688990246,0.846076663627495
"XIRP2",83235.7897249682,1.71892031365256,0.313037833842481,5.4910944551115,3.99450642144505e-08,1.59667098035665e-06
"TNNC2",81445.2721803842,0.0789504941011859,0.240782261294044,0.327891654795829,0.742993583747211,0.8761921827558
"MT-ND6",76960.7869450166,-0.102409797124734,0.196447512537663,-0.521308698704442,0.602151742251297,0.78914450151043
"TPM3",75821.429262315,-0.0357188188919359,0.209862712968176,-0.170200882218426,0.864852157932513,0.940795925404962
"MT-ND4L",73844.6486867015,-0.0963374243719409,0.213926060125005,-0.45033047547198,0.652472167661709,0.821045419219362
"TPM1",68673.192201762,0.193978565596039,0.237934111683726,0.815261688302537,0.414922533668528,0.643711594289493
"TNNC1",65208.7101784438,0.016521107745978,0.214982350137967,0.0768486702995638,0.93874393188715,0.973302731936784
"MT-ND3",64975.043262642,0.209756968656668,0.201009215475799,1.04351916483113,0.296707909444368,0.526224952578271
"CA3",60778.073099565,0.0280029908982399,0.173318382055224,0.161569653294579,0.871644756435829,0.944793579694076
"OBSCN",60522.0396336398,0.1373202305951,0.162805127771224,0.843463793032765,0.398969107142377,0.629144574157084
"RYR1",59989.3612769484,-0.400403966554061,0.13942666567365,-2.8717890126647,0.00408155371669994,0.0237683544955164
"MYBPC2",59105.7699313961,-0.037172511174726,0.314197244495861,-0.118309475420036,0.905822449831059,0.960700147859008
"MYH1",57475.0278987161,0.229027808528294,0.708704892203045,0.323163859947897,0.746571149252333,0.877724449813726
"KLHL41",58246.8646460489,0.44073939035223,0.17161906674717,2.56812601714896,0.0102249977292614,0.0482685573636263
"YBX3",56289.229469747,0.0396266611588256,0.0943373848069127,0.420052572370248,0.674447048671592,0.834922605435704
"PDE4DIP",55936.864649328,-0.0989347729301686,0.136907930721847,-0.722637267311944,0.469902765966051,0.691235198892929
"TPT1",54758.5996283504,0.106949687476108,0.11534608806722,0.927206889008507,0.353819126708151,0.584246679678409
"MYLPF",54347.9910938459,0.128261416788883,0.274168889306789,0.467819004239247,0.639914029079261,0.812494185140713
"LDB3",52366.1493058442,-0.0574366863054938,0.101033356159597,-0.568492312724561,0.56970072405073,0.768117880239515
"XIRP1",53102.4231367493,3.01507002100863,0.655412836076964,4.60026086619789,4.21962176719849e-06,8.38229297885111e-05
"EEF2",47997.0262085488,-0.170374706913856,0.108036011588787,-1.57701774073581,0.114791443050083,0.28825543004746
"TNNI2",47531.8051388481,0.0280114370545713,0.252060341408914,0.111129886193119,0.911513349763311,0.963367731562667
"PDLIM3",46834.5688893412,0.741259384073905,0.154515935628245,4.79730055712392,1.60818203591058e-06,3.60754348596157e-05
"MYOZ1",45718.1542963324,-0.0100535190014945,0.103001098346597,-0.097605939770317,0.922245207776457,0.966925240134181
"SYNPO",45134.9767436617,-0.154004270424225,0.12003314157986,-1.28301457745121,0.199486968982368,0.412600576420582
"PKM",44476.6284294097,-0.0385723188504285,0.144183671353526,-0.267522102109972,0.789067199079476,0.901955458442272
"EEF1A2",43718.5917356522,0.00520554911255639,0.146004625087695,0.0356533165263071,0.971558794878735,0.987586960286648
"CASQ1",41199.2410801213,0.0195443377848657,0.113272159530713,0.172543172707557,0.863010523360359,0.94003825623378
"CSDE1",37611.5363944877,0.00784607055570826,0.108972755034731,0.072000295424371,0.942601672748376,0.975296053360067
"SYNPO2",37166.1841821757,0.586162172352814,0.174354381467175,3.3619010168848,0.000774078662912763,0.00630614892245906
"SVIL",36636.3986735745,-0.194795103607734,0.157021138791702,-1.24056611171405,0.214766077314676,0.432412863999726
"HSPB7",36446.8008390604,1.58552739564695,0.173683106824342,9.12885210678838,6.9229421655641e-20,7.51405491970073e-17
"ZNF106",35923.5973464745,0.325884096781526,0.209338242715294,1.55673465370939,0.119533497491586,0.296505165537351
"TRDN",34765.8609797722,-0.00621796670061717,0.112107767259202,-0.0554641917561407,0.955768656856232,0.981935033365475
"MYL3",33086.7013671608,-0.0278029250201271,0.220133438345463,-0.126300325970901,0.89949419823877,0.957644686654892
"SLN",32628.2372290698,0.389230994496846,0.165093926979249,2.35763363085893,0.0183918344194596,0.0759908590508272
"ATP5F1B",31699.5778110862,0.0136296968699997,0.109430991509982,0.124550611137946,0.900879330415819,0.957784064388766
"MYOT",31646.3748353355,0.487735880113741,0.142486408020654,3.42303442755776,0.00061926233603209,0.00527007934946489
"MYOM1",30530.3234130903,0.0361506426224129,0.142230982354717,0.254168550507898,0.799365345995267,0.907432460300598
"ATP1A2",29992.4281226754,-0.356524685276099,0.13425850264749,-2.65550917257131,0.00791887798814498,0.0393835162486266
"SLC25A4",29512.9677845454,-0.00704381063555262,0.12868828628909,-0.0547354451494453,0.95634923053244,0.982119139251539
"CSRP3",29267.0637818233,1.63595414684991,0.338866320943791,4.82772717658557,1.38100108537817e-06,3.1530623486547e-05
"CRYAB",28791.3445822859,1.29388517617197,0.226637309644105,5.70905636942036,1.13604263957866e-08,5.34318721481829e-07
"HSPB1",28620.9848096613,1.63273209856373,0.252146060910947,6.47534247675748,9.45971305343968e-11,8.55618917846371e-09
"BIN1",27440.4705599521,0.180675789871031,0.134660380352725,1.34171453695419,0.179688571735709,0.387143952846367
"COQ8A",25985.2309997963,-0.237690084310502,0.163118136883221,-1.45716527206701,0.145070764300362,0.335290497015251
"PLEC",26323.0531950259,-0.160388086809129,0.15028617137444,-1.06721786404099,0.285873467590431,0.515222203052878
"NFE2L1",24960.6781950442,-0.367281413100047,0.0995374392779082,-3.68988207617637,0.000224358029030424,0.00232771455119065
"PFKM",23867.9209658422,0.0154111637682661,0.166203920895951,0.0927244296355322,0.926122488576147,0.967682378360231
"KIF1C",22415.8163849904,-0.0741014504465708,0.117037768576977,-0.633141346998883,0.526641343620407,0.736243867877137
"HSPA8",22228.227632242,0.504500231896436,0.12228475407292,4.12561840371039,3.69739896185248e-05,0.000543157063896927
"MAP4",21812.3892135274,-0.000211242480783398,0.137800176186658,-0.00153296234176986,0.998776873494262,0.99955611639152
"ATP5F1A",21409.7701932592,0.0144855720995908,0.104618720923998,0.138460611749536,0.889876396995957,0.95389774075917
"GNAS",20485.646531474,-0.0234343163654998,0.0752767391759994,-0.311308866749789,0.755565827273681,0.883120760671938
"MYL12A",20167.7522203409,0.99869592087426,0.302848394273122,3.2976761302343,0.000974885106182703,0.0075412361760559
